GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mercado,br.ufpb.dsc.mercado.config,MercadoPagoConfiguration,0,7,0,0,0,3,0,2,0,2
mercado,br.ufpb.dsc.mercado.config,TokenProvider,20,223,3,9,6,48,3,12,0,9
mercado,br.ufpb.dsc.mercado.service,UsuarioService.TokenEntry,9,0,0,0,1,0,1,0,1,0
mercado,br.ufpb.dsc.mercado.service,MercadoPagoService,0,158,0,21,0,45,0,19,0,5
mercado,br.ufpb.dsc.mercado.service,CategoriaService,0,106,0,8,0,21,0,12,0,8
mercado,br.ufpb.dsc.mercado.service,UsuarioService,0,531,5,47,0,127,5,46,0,25
mercado,br.ufpb.dsc.mercado.service,ProdutoService,2,328,2,22,0,78,2,28,0,18
mercado,br.ufpb.dsc.mercado.service,AvaliacaoService,0,82,0,2,0,19,0,6,0,5
mercado,br.ufpb.dsc.mercado.service,PedidoService,2,637,4,46,0,144,4,37,0,16
mercado,br.ufpb.dsc.mercado.service,CupomService,2,170,2,10,0,35,2,17,0,13
mercado,br.ufpb.dsc.mercado.service,RecuperacaoSenhaService,0,96,0,4,0,22,0,6,0,4
mercado,br.ufpb.dsc.mercado.controller,PedidoRestController.CupomDTO,0,12,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.controller,PedidoAdminRestController,0,92,0,4,0,16,0,7,0,5
mercado,br.ufpb.dsc.mercado.controller,ClienteRestController,0,191,0,0,0,45,0,14,0,14
mercado,br.ufpb.dsc.mercado.controller,SysAdminController,4,491,5,15,0,101,5,17,0,12
mercado,br.ufpb.dsc.mercado.controller,AdminController,1,597,1,19,0,120,1,31,0,22
mercado,br.ufpb.dsc.mercado.controller,AuthController,0,85,0,4,0,22,0,7,0,5
mercado,br.ufpb.dsc.mercado.controller,ClienteRestController.PerfilUpdateRequest,0,15,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.controller,AuthRestController.MensagemResponse,0,9,0,0,0,1,0,1,0,1
mercado,br.ufpb.dsc.mercado.controller,ProdutoController,7,322,3,11,0,71,3,16,0,12
mercado,br.ufpb.dsc.mercado.controller,PedidoRestController,0,189,0,14,0,42,0,14,0,7
mercado,br.ufpb.dsc.mercado.controller,AuthRestController,0,123,0,6,0,26,0,10,0,7
mercado,br.ufpb.dsc.mercado.controller,ProdutoRestController,0,173,0,8,0,44,0,13,0,9
mercado,br.ufpb.dsc.mercado.audit,AuditoriaService,0,133,1,17,0,48,1,16,0,8
mercado,br.ufpb.dsc.mercado.audit,LogAuditoria.Builder,0,41,0,0,0,9,0,8,0,8
mercado,br.ufpb.dsc.mercado.audit,LogAuditoria,0,62,0,0,0,20,0,12,0,12
mercado,br.ufpb.dsc.mercado.audit,LogAuditoriaRepositoryImpl,0,84,1,7,0,16,1,6,0,3
mercado,br.ufpb.dsc.mercado.audit,AuthAuditoriaListener,0,102,0,8,0,28,0,10,0,6
mercado,br.ufpb.dsc.mercado.exception,GlobalExceptionHandler,0,57,0,0,0,13,0,6,0,6
mercado,br.ufpb.dsc.mercado.exception,ApiException,0,40,0,0,0,9,0,7,0,7
